timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1787830047410,105,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,101,0,19
1787830047541,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830047617,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,0
1787830047692,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830047766,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,2
1787830047842,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,84,0,1
1787830047927,80,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,2
1787830048008,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830048086,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830048162,86,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,86,0,1
1787830048249,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,2
1787830048331,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830048406,80,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,0
1787830048487,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830048570,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,2
1787830048649,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,0
1787830048725,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,0
1787830048799,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830048874,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830048949,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,1
1787830049028,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,1
1787830049110,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830049189,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830049266,83,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830049350,99,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,99,0,1
1787830049451,91,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,91,0,2
1787830049543,85,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,84,0,2
1787830049629,91,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,91,0,2
1787830049721,86,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,86,0,1
1787830049809,85,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,85,0,1
1787830049895,87,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,86,0,2
1787830049983,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830050068,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830050153,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,2
1787830050235,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830050314,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,2
1787830050393,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830050471,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,2
1787830050549,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,2
1787830050626,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,1
1787830050704,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830050780,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830050857,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830050936,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830051012,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830051087,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,1
1787830051165,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,84,0,1
1787830051251,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,2
1787830051332,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,2
1787830051410,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,2
1787830051487,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830051567,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,1
1787830051648,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830051732,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830051809,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830051887,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830051966,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830052049,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830052126,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,1
1787830052208,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,83,0,1
1787830052292,85,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,85,0,1
1787830052379,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830052461,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830052538,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,2
1787830052616,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,2
1787830052692,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830052767,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830052844,80,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,1
1787830052924,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,1
1787830053002,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830053079,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,2
1787830053154,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830053230,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830053305,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,2
1787830053382,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,1
1787830053460,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830053535,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830053609,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,83,0,1
1787830053695,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,84,0,1
1787830053781,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830053861,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,2
1787830053940,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,0
1787830054016,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,0
1787830054093,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830054176,83,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,83,0,1
1787830054260,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,2
1787830054337,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830054412,91,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,91,0,1
1787830054505,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830054582,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,1
1787830054663,88,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,88,0,1
1787830054752,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,2
1787830054828,90,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,89,0,2
1787830054919,87,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,87,0,2
1787830055007,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,2
1787830055088,87,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,87,0,1
1787830055177,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,2
1787830055255,89,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,89,0,1
1787830055346,87,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,86,0,3
1787830055434,100,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,100,0,1
1787830055536,95,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,95,0,1
1787830055632,109,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,109,0,1
1787830055743,90,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,90,0,2
1787830055834,109,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,109,0,1
1787830055944,89,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,89,0,2
1787830056034,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,2
1787830056116,90,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,89,0,2
1787830056206,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830056285,88,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,88,0,0
1787830056374,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830056451,89,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,89,0,1
1787830056541,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,2
1787830056620,85,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,85,0,2
1787830056706,85,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,85,0,1
1787830056792,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830056876,91,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,91,0,1
1787830056968,89,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,88,0,1
1787830057058,215,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,215,0,1
1787830057274,175,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,175,0,1
1787830057451,105,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,105,0,1
1787830057557,93,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,93,0,2
1787830057651,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830057735,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,1
1787830057816,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,2
1787830057895,87,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,86,0,1
1787830057983,80,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,0
1787830058065,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830058151,85,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,85,0,2
1787830058239,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830058322,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,1
1787830058402,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830058479,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830058554,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830058631,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830058707,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830058789,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,84,0,1
1787830058874,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830058954,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830059031,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,1
1787830059109,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830059186,95,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,95,0,1
1787830059282,98,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,98,0,2
1787830059381,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,1
1787830059464,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,2
1787830059543,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830059625,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830059702,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830059780,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,0
1787830059854,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830059928,78,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,78,0,1
1787830060007,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,548,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,0
1787830060081,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830060157,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,74,0,1
1787830060232,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830060307,76,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,76,0,1
1787830060384,77,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,77,0,2
1787830060462,74,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830060537,75,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,75,0,1
1787830060613,73,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,73,0,1
1787830060687,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,82,0,2
1787830060770,81,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830060853,80,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,2
1787830060934,217,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,217,0,4
1787830061152,256,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,256,0,1
1787830061409,175,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,175,0,2
1787830061585,125,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,124,0,1
1787830061711,171,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,171,0,1
1787830061884,125,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,125,0,1
1787830062011,137,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,137,0,2
1787830062149,108,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,108,0,1
1787830062258,176,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,176,0,1
1787830062434,175,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,174,0,1
1787830062610,122,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,122,0,1
1787830062734,96,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,95,0,1
1787830062830,96,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,96,0,1
1787830062927,92,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,92,0,1
1787830063020,86,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,86,0,1
1787830063107,84,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,84,0,1
1787830063192,93,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,93,0,1
1787830063286,94,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,548,249,1,1,http://localhost:8080/api/v1/auth/login,94,0,1
1787830063381,82,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,81,0,1
1787830063463,80,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,550,249,1,1,http://localhost:8080/api/v1/auth/login,80,0,1
1787830063544,79,Authentication Login,400,Bad Request,Auth Handshake Setup 1-1,text,false,,549,249,1,1,http://localhost:8080/api/v1/auth/login,79,0,1
